Preview,Type,PriceLastSent,ID,WordCount,LengthCat,BestTime,Theme | Tags,LastUsedDate,LastUsedBy,TimesUsed,LastUsedPage,Explicitness
"I have something really spicy to show you, do you want to see it?😉",BUMP,$0,C06171,14,Short,Afternoon,,2025-07-29 21:16,Camsy,2,Nora Rhodes,OTHER
good morning ;3 what are you looking to see today from me today;),BUMP,$0,C06172,13,Short,Afternoon,,,,,,OTHER
Strip until topless or full nude? 💕,BUMP,$0,C06173,7,Short,Evening,,2025-07-29 23:32,Camsy,2,Tessa Thomas,OTHER
Do you like peaches? 🍑,BUMP,$0,C06174,5,Short,Late Night,,2025-07-30 00:41,Camsy,2,Cali Love,OTHER
I know you had a long day baby cum relax with me ill take care of you ;),BUMP,$0,C06175,18,Short,Late Night,,2025-08-20 00:00,John,3,Alexisdanielle,OTHER
Does it turn you on when I talk dirty to you? 😏,BUMP,$0,C06176,12,Short,Evening,,2025-07-27 23:02,Camsy,2,Mia Foster,OTHER
What's your favorite type of foreplay?😈,BUMP,$0,C06177,6,Short,Evening,,2025-08-06 11:35,Camsy,3,Tessa Thomas,OTHER
I have something special for you here babe 😻I think you going to like it! Wanna see?,BUMP,$0,C06178,17,Short,Morning,,2025-08-17 03:09,Stan,3,Stella corbet,OTHER
You ever made someone shake just from using your mouth? 🙈,BUMP,$0,C06179,11,Short,Evening,,2025-08-10 10:29,Gee,2,,OTHER
my pussy is still throbbing from that last vid baby 😈🙈,BUMP,$0,C06180,11,Short,Late Night,,,,,,OTHER
Hopefully that last message cheered you up a bit daddy 😘,BUMP,$0,C06181,11,Short,Overnight,,,,,,OTHER
did that last message make you cum daddy 💦😜,BUMP,$0,C06182,9,Short,Evening,,,,,,OTHER
Got any naughty plans for the day? 👀,BUMP,$0,C06183,8,Short,Evening,,2025-08-10 10:31,Gee,3,Isabella Kinsley,OTHER
"I won’t be online tonight so I’m doing customs all night! Lmk what you want to see **(self play, JOI, BJs, Cum shows!)**",BUMP,$0,C06184,23,Medium,Evening,,,,,,JOI
tell me ur alone right now babyy 😏 i got something for you 👅,BUMP,$0,C06185,14,Short,Overnight,,2025-08-20 00:08,John,4,Alexisdanielle,OTHER
I'm feeling naughty rn 🙈,BUMP,$0,C06186,5,Short,Morning,,2025-07-29 23:26,Camsy,1,Caroline Mae,OTHER
hey daddy i know that cock is hard right now 🍆😋,BUMP,$0,C06187,11,Short,Evening,,2025-07-24 01:48,Chu,1,Taylor Wild,OTHER
You busy or should I distract you a bit? 😈,BUMP,$0,C06188,10,Short,Evening,,2025-08-20 00:53,John,5,,OTHER
Miss me? Or do I need to remind you why you should? 😏,BUMP,$0,C06189,13,Short,Evening,,2025-08-18 01:45,John,2,Olivia Mae,OTHER
are we gonna pull out an all nighter? 😏😈,BUMP,$0,C06190,9,Short,Late Night,,2025-08-25 22:51,John,1,Kay,OTHER
Fingerfuck or tonguefuck? What's your move? 👅🥵,BUMP,$0,C06191,7,Short,Evening,,2025-08-20 00:55,John,1,Charlotte Rose,OTHER
