source_file,row_id,caption_original,price,category,has_link,contains_renew,mentions_tip
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,199,Hey guys ❤️ So I finally made a new INSTAGRAM account lol…let’s see how long it lasts : https://instagram.com/ ?igshid=YmMyMTA2M2Y= 😍 IG : 😍 the pics above are we’re just to get your attention lol,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,282,***Happy Thanksgiving to you and you familly!! *** also a reminder that there's 7 days left to enter my contest ...for a chance to win the PRIZE of a LIFETIME 🥳😍 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,283,i'm auditioning to be the next M0rtal Kombat character 💃🏻 ....and alsoooooo LAST REMINDER for the contest that ENDS in 2 DAYS!!! the winner will be announced DECEMBER 1st 🥳 so u only have 2 more days to enter!!! don't forget that every entry gets a FREE video on thursday as a participation gift 🥰 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,311,"💙🤍It’s my Dirty 30 Today!!Birthday girl photoset🤍💙Thank you to everyone who has been supporting me through the journey since day one!!💋 I have come this far because of your loyalty , love & support 🎉 ***[enter wishlist link here]",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,316,[enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,323,Thank you so much for participating in my VDAY raffle ♥️ unfortunately you did not win the main prize but here’s a little thank you for supporting me in this giveaway 🌹🎁 here’s a free 3 month subscription 🥳 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,342,🏆***Guys I’ve been nominated for Nicest tits and favourite fitness model on pornhub***⭐️ I’ve never won an award before and it would be an honour to get your votes!!!! 🖤🧡 https://www.pornhub.com/awards 👈 you can vote 1x a day 🙏🏼,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,346,"🧡🖤6 days left to vote for me!! ***nicest tits & favourite fitness model*** 🖤🧡**https://www.pornhub.com/awards/fan-voting** 🛎️Also don’t forget to check out ***my wall*** for bundle sales, c0llab announcements & giveaways 🛎️",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,358,🎟️➡️***[enter link here] ***⬅️🎟️,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,366,🩵Happy Thirsty Thursday☀️ Less than 2 weeks left to enter!!! Every participant who enters will receive a video at the end of the month!! 🎁***[enter link here] ***,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,387,"• July giveaway • Very self explanatory, click here 💙➡️ [enter link here]",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,416,***Tip here*** 👇🏼 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,446,i wanted to take a few minutes to wish you a MERRY CHRISTMAS ❤️ all the best to you and your family 🥰 also i wanted to thank you for supporting me 😍 i really appreciate it 🙏 i wouldn't be here without all you guys so thank you ❤️ on a side note...i extended the contest for 5 more days since it's super popular 🥳 the winners will be announced on the 31st (u have 5 more days to join) ***[enter link here] *** finally...here's a nice oil clip and a few pics for you to jerk off to on this Christmas day 💦 escape to the bathroom while your family is having dinner 😜,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,506,"***[enter link here] *** ⚠️👆🏼SKYP maskless giveaway⚠️👆🏼 450$ value / one on one show, no mask- full face. Tip under this post • every participant will receive a compensation solo 💋! End : July 24- 2024 Tip 10$- 5 entries 🎟️ Tip 20$- 10 entries 🎟️ Tip 50$ - 35 entries 🎟️",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,657,Goodmorning 😊 have a lovely Sunday 💋 [enter wishlist link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,718,"Introducing – the stunning fashion corporate queen by day and your deepest desire by night 💼🔥 Smart, sophisticated, and dangerously seductive when the sun goes down… She’s just launched her OF, and for today only, it’s FREE! 😈 Don’t miss your chance to be one of the first to experience her wild side. Think you can handle her? 🔥💦 [enter link here]",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1089,Hey baby 💞 I know its been awhile since we talked for real🥺 I've been taking the last several months to work on myself and get my mental health right.. but I feel bad that we neglected our relationship and time together.. I really want to make it up to you and rekindle our relationship I made my page free just for you so we can spend some time getting back to where we left off💋 When you resub I'll send you a free surprise when you message me😇 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1699,Happy Friday habibi Comment my newest ig post to see the back of this photo https://www. /CbN4kp-vq1q/?utm_medium=copy_link,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1702,Want More? https://www. /CbViPTjDfUx/?utm_medium=copy_link Comment 👑 to unlock this look 👀 with the dress off and me completely nude 🥵,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1714,[enter YouTube link here] Leave a comment & subscribe to my channel then send me a screenshot for a personalized video where i moan ur name 👅 If i owe u for last download let me know i sometimes get too many messages and lose track 😍,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1789,"HABIBI 😘 go check my sexy friend wick has an amazing 🔞🔞UNCERSORED CONTENT 🔞🔞 , and beside being really sexy she has her ONLY FANS AT AN ENORMEOUS DISCOUNT(FREE) FOR NEWCOMERS and everyone who want to follow her😈😘if you do that i will send you my first CLOSE UP NAKED AND UNCENSORED VIDEO of me 💦🥵🥵here is her link to get your free months https://onlyfans.com/ 😘",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1809,Subscribe to this SEXY baby girl 🔥🥵i think she is the hottest girl i know she has her onlyfans free for you with this link https://onlyfans.com/ Don't miss this chance her content is amazing🥰🥵🔥,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1838,"bby i want you to go subscribe to this SEXY ASS FRENCH GIRL 😈🙈she just made her OF so go easy on her but i know you will get to love her how you do me , just follow this link and you will get FREE SUBSCRITION [enter link here] , do it fast because it's up ONLY FOR 24H 😈🙈",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1848,[enter link here] Download my new song on spotify or apple music for a free naked twerk video RIGHT NOW 👀 Send screenshot proof 🔥,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1850,"hey love , go follow this beautiful girl 😈🔥she is one hell of a girl 😻🥵😈even more she made her OF FREE so you can check to see what she has to offer but i really think you will love her 😘😘https://onlyfans.com[enter link here] with this link you get 3 moths free trial🙈🙈😏🎁",0.0,Link drop,True,False,False
