source_file,row_id,caption_original,price,category,has_link,contains_renew,mentions_tip
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,69,💦 I’ll be sending this video to everyone who has their RENEW button ON 💦 make sure u have it ON by Sunday night…. if u want to see me be a CUM DUMPSTER 😋 those tits were made to take loads of cum 😝,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,78,"❤️❤️ thank you for being a loyal subscriber and keeping ur ""RENEW ON"" for me ❤️❤️ so here's 2 little exclusive videos to show my appreciation 😋 first one is just me trying to tan ...but apparently that is too much of a turn-on for a man ...he can't just watch from a distance without unloading his cum all over me 😝 but i obviously enjoy that too so i let him use me as a cum dumpster",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,79,"❤️❤️ part 2 of my thank you for having ur ""RENEW ON"" ❤️❤️ another attempt at the world's biggest cock 😝",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,117,"hey guy 😍 just wanted to let you know that i'll be sending a NEW FREE MASKED VIDEO to everyone who has their "" RENEW / REBILL "" option turned on 😍😍 i'm sending it to the entire list of "" RENEW ON "" this saturday ❤️❤️❤️ have a great week 😘",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,134,"♥️🎉 Happy New Years !! 🍾🥂 Wishing you all health, love, happiness & wealth💋 • I hope you are all ready for 2022.. I have lots of NEW sexy dirty content planned 🤐 .. you are not ready for it!! Make sure your auto renew is on to find out 🔥💦",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,144,Hey guys ❤️ I’m sending a free masked videos this weekend to everyone who has their REBILL / RENEW turned ON So make sure yours is ON 😋,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,146,"🎁 i just wanted to thank you for keeping your ""RENEW ON"" 🎁 so for this month...here's a masked JOI video - in a dress / heels / pantyhose ❤️ i appreciate ur support 😘",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,197,Happy Titty Tuesday everyone !! Don’t forget to turn on ur rebill(renew on)☑️ to get a FREE video tomorrow! Oil/Dragon Tongue/Riding/ Squ*rt - 9 minute Video 💦 preview is on wall!,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,202,Have a great wet week everyone 🧖‍♀️ Don’t forget to turn on AUTO RENEW for free stuff 🫶🏼,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,209,Here’s some new wallpapers for u guys 😋 andddddd don’t forget to keep your” RENEW : ON” cuz I’m sending a FREE VIDEO at the end of the month to everyone who has their RENEW ON ❤️,0.0,Renew campaign captions,False,True,False
